SDS 2.3	Background Spectra	1.0
Well Nb	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
1	821.2143	825.5714	842.5714	860.4286	864.9286	879.9286	888.6429	906.0	916.5714	922.4286	924.4286	928.5714	925.2143	926.9286	919.4286	915.6429	908.0	902.5714	903.9286	904.0714	899.2857	897.0	892.5	890.6429	892.3571	888.5714	885.3571	882.7143	882.8571	880.8571	882.3571	874.2857
2	819.5	830.5714	846.7857	873.6429	885.6429	903.3571	923.1429	933.5	946.0	959.2857	963.2143	967.6429	968.0714	960.2857	955.7857	951.2143	943.6429	934.2143	932.1429	932.4286	929.7857	925.5	922.8571	916.5714	915.8571	916.6429	918.7143	912.9286	905.5	912.9286	901.2143	900.7857
3	821.6429	832.0714	849.2857	860.4286	869.7857	881.8571	894.5714	907.0	921.1429	924.6429	931.5714	932.5	928.2857	932.0714	922.8571	914.7143	912.3571	912.2143	909.1429	908.0	906.5	896.3571	898.1429	899.8571	887.2857	888.0	890.2143	886.9286	890.2857	882.1429	881.2857	879.4286
4	816.5	831.2143	849.1429	863.4286	873.0	882.2143	897.8571	905.7857	914.6429	921.2143	929.3571	932.0	931.7143	927.7143	921.2857	922.1429	916.6429	912.0	903.4286	898.6429	905.3571	899.7857	894.3571	894.7857	893.2143	897.5	883.8571	887.5714	885.3571	886.1429	876.7143	874.7857
5	819.4286	830.6429	846.9286	860.8571	870.9286	884.0	897.0714	912.6429	920.0714	925.7857	929.6429	931.8571	930.1429	927.8571	925.2143	918.3571	911.2143	911.0714	903.6429	904.2143	906.3571	896.3571	896.5	892.7143	892.4286	890.1429	884.2143	891.5	881.4286	885.2857	882.9286	874.2857
6	815.9286	835.6429	845.9286	863.2143	868.2143	888.6429	899.5	908.8571	922.0714	928.5	935.6429	942.7143	933.6429	934.2857	926.6429	926.7143	919.1429	914.9286	910.1429	904.8571	906.7857	898.5	897.2143	899.0714	901.6429	890.3571	889.7143	891.6429	891.3571	883.8571	885.2857	879.8571
7	825.4286	830.5	846.0714	863.7143	868.0	887.5	896.3571	904.0	918.2857	925.5	927.8571	931.2143	930.1429	930.6429	919.9286	920.5	916.2143	908.1429	909.0714	903.8571	900.5714	898.4286	893.0	891.3571	893.5714	887.9286	889.4286	886.6429	888.6429	881.7143	881.4286	876.1429
8	818.5	836.0	854.2857	870.5714	872.5	894.5	904.9286	912.0	924.0	933.2143	938.4286	939.0714	934.0	938.0714	929.7143	927.0714	917.7143	910.5714	910.1429	910.0714	905.0714	898.5	904.0	896.8571	895.5714	896.4286	896.9286	891.6429	889.2143	890.5	887.7143	876.2857
9	820.9286	832.5714	851.5	863.5	869.5714	878.8571	898.5714	904.1429	913.9286	918.1429	927.2143	922.1429	926.1429	921.2857	917.0	916.7143	906.7143	905.7143	904.2143	898.6429	899.7857	894.0714	892.6429	888.6429	885.0	886.4286	883.0714	885.7143	882.9286	879.5	876.0	881.3571
10	820.3571	842.5714	854.4286	859.7857	865.1429	885.4286	894.5714	900.7857	920.3571	915.5	922.6429	928.5714	925.1429	928.5714	917.5714	917.8571	910.9286	908.5	909.1429	900.9286	894.5714	892.4286	892.1429	898.2143	891.1429	884.5714	881.8571	886.0714	884.4286	877.4286	881.8571	876.5714
11	818.0714	833.6429	849.5	863.3571	872.3571	887.7857	900.1429	907.6429	916.0	928.0714	931.7857	931.7857	932.1429	929.7857	921.7143	919.5	912.5	907.1429	905.4286	905.7143	903.4286	898.5714	894.5	895.2143	889.3571	891.5714	888.2143	888.9286	882.7857	888.1429	881.4286	874.2143
12	818.7857	837.2143	855.7857	863.2857	871.7857	880.9286	893.6429	903.2857	908.7143	920.3571	922.2143	929.0714	925.2857	923.0714	920.1429	914.6429	910.2143	906.7143	907.7857	903.0714	900.2143	893.6429	892.7143	888.1429	892.1429	887.5	888.9286	882.1429	882.7857	878.8571	879.5	881.1429
25	822.4286	837.2857	849.2857	870.7857	874.0	885.2857	899.7857	910.0714	914.7857	927.0714	933.4286	929.2857	932.5714	930.4286	928.7857	924.7857	919.3571	914.2857	916.5	906.7857	907.6429	899.1429	897.7143	899.0	894.5	893.1429	892.3571	890.2143	893.9286	892.5714	883.4286	878.4286
26	821.7857	830.1429	850.0714	870.3571	873.3571	893.2143	905.0714	912.7143	922.3571	933.4286	937.5714	940.5714	942.0714	931.5714	936.7857	928.3571	922.1429	918.5714	912.2857	914.9286	909.4286	909.7143	904.1429	900.9286	902.9286	899.9286	899.0	896.2857	896.0	892.2143	887.7857	889.2857
